股票代號,股票名稱
2301,光寶科
2308,台達電
2312,金寶
2314,台揚
2317,鴻海
2321,東訊
2324,仁寶
2332,友訊
2345,智邦
2352,佳世達
2412,中華電
2419,仲琦
2424,隴華
2444,兆勁
2485,兆赫
3025,星通
3027,盛達
3045,台灣大
3047,訊舟
3062,建漢
3138,耀登
3152,璟德
3306,鼎天
3380,明泰
3419,譁裕
3447,展達
3491,昇達科
3499,環天科
3558,神準
3564,其陽
3596,智易
3664,安瑞-KY
3684,榮昌
3694,海華
3704,合勤控
3706,神達
3710,連展投控
4904,遠傳
4905,台聯電
4906,正文
4938,和碩
5348,正能量智能
5353,台林
5388,中磊
6134,萬旭
6142,友勁
6152,百一
6216,居易
6241,易通展
6245,立端
6263,普萊德
6284,佳邦
6285,啟��
6416,瑞祺電通
6417,韋僑
6465,威潤
6470,宇智
6546,正基
6588,東典光電
6674,鋐寶科技
6792,詠業
6863,永道-KY
7714,創泓科技
7717,萊德光電-KY
7747,昕奇雲端
8034,榮群
8059,凱碩
8089,康全電訊
8097,常珵
8176,智捷
